filename,truth_json,pred_json
call_recording_10.opus,"{""call_type"": ""Compliment"", ""customer_sentiment"": ""Happy"", ""customer_name"": ""Christopher Green"", ""order_number"": ""876543"", ""product_numbers"": ""PR-9876"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""classical"", ""instrument_identification"": [""piano""], ""tempo_classification"": ""slow"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_11.opus,"{""call_type"": ""Product Inquiry"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Dr. Emily Carter"", ""order_number"": ""N/A"", ""product_numbers"": ""MED-7654"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""pop"", ""instrument_identification"": [""synthesizer"", ""drums"", ""vocals""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""uplifting"", ""music_volume"": ""normal""}"
call_recording_12.opus,"{""call_type"": ""Complaint"", ""customer_sentiment"": ""Angry"", ""customer_name"": ""Kevin Lee"", ""order_number"": ""234567"", ""product_numbers"": ""SOFA-123"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": ""N/A"", ""order_number"": ""N/A"", ""product_numbers"": ""N/A"", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""saxophone"", ""piano"", ""drums"", ""bass""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_13.opus,"{""call_type"": ""Technical Issue"", ""customer_sentiment"": ""Frustrated"", ""customer_name"": ""Jessica Williams"", ""order_number"": ""456789"", ""product_numbers"": ""SERVER-8901"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""classical"", ""instrument_identification"": [""violin"", ""piano""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_14.opus,"{""call_type"": ""Order Placement"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Mike Johnson"", ""order_number"": ""N/A"", ""product_numbers"": ""GAME-CONSOLE-X & GAME-CONTROLLER-Y"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""piano"", ""bass"", ""drums"", ""saxophone""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_15.opus,"{""call_type"": ""Compliment"", ""customer_sentiment"": ""Happy"", ""customer_name"": ""Ashley Perez"", ""order_number"": ""987654"", ""product_numbers"": ""CAMERA-PRO-1"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""piano"", ""bass"", ""drums"", ""saxophone""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_16.opus,"{""call_type"": ""Product Inquiry"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Brian Thompson"", ""order_number"": ""N/A"", ""product_numbers"": ""TABLET-Z"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""pop"", ""instrument_identification"": [""vocals"", ""synthesizer"", ""drums"", ""bass""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""uplifting"", ""music_volume"": ""normal""}"
call_recording_17.opus,"{""call_type"": ""Complaint"", ""customer_sentiment"": ""Angry"", ""customer_name"": ""Angela Ramirez"", ""order_number"": ""765432"", ""product_numbers"": ""WASHER-DRYER-COMBO"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""classical"", ""instrument_identification"": [""piano"", ""violin""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_18.opus,"{""call_type"": ""Technical Issue"", ""customer_sentiment"": ""Frustrated"", ""customer_name"": ""Samuel Peterson"", ""order_number"": ""543210"", ""product_numbers"": ""SOFTWARE-SUITE-PRO"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""piano"", ""bass"", ""drums"", ""saxophone""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
call_recording_19.opus,"{""call_type"": ""Order Placement"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""Patricia Collins"", ""order_number"": ""N/A"", ""product_numbers"": ""OFFICE-CHAIR-X5 & DESK-L-SHAPE-Y7 & FILING-CABINET-Z9"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""rock"", ""instrument_identification"": [""guitar"", ""drums"", ""bass""], ""tempo_classification"": ""fast"", ""mood_of_music"": ""energetic"", ""music_volume"": ""normal""}"
call_recording_20.opus,"{""call_type"": ""Compliment"", ""customer_sentiment"": ""Happy"", ""customer_name"": ""Charles Evans"", ""order_number"": ""135792"", ""product_numbers"": ""TV-ULTRA-4K-85"", ""has_music"": false, ""genre_detection"": null, ""instrument_identification"": null, ""tempo_classification"": null, ""mood_of_music"": null, ""music_volume"": null}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""pop"", ""instrument_identification"": [""vocals"", ""synthesizer"", ""drums"", ""bass""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""uplifting"", ""music_volume"": ""normal""}"
Dave Brubeck - Take Five 128kbps.opus,"{""call_type"": ""Product Inquiry"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""N/A"", ""order_number"": ""N/A"", ""product_numbers"": ""N/A"", ""has_music"": true, ""genre_detection"": ""jazz"", ""instrument_identification"": [""saxophone"", ""piano"", ""bass"", ""drums""], ""tempo_classification"": ""fast"", ""mood_of_music"": ""energetic"", ""music_volume"": ""normal""}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""hip-hop"", ""instrument_identification"": [""synthesizer"", ""drums"", ""vocals""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""energetic"", ""music_volume"": ""normal""}"
Debussy - Clair de Lune 256kbps.opus,"{""call_type"": ""Product Inquiry"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""N/A"", ""order_number"": ""N/A"", ""product_numbers"": ""N/A"", ""has_music"": true, ""genre_detection"": ""classical"", ""instrument_identification"": [""piano""], ""tempo_classification"": ""slow"", ""mood_of_music"": ""calm"", ""music_volume"": ""soft""}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""classical"", ""instrument_identification"": [""violin"", ""piano""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
Ed Sheeran - Shape of You (Official Music Video) 48kbps.opus,"{""call_type"": ""Product Inquiry"", ""customer_sentiment"": ""Neutral"", ""customer_name"": ""N/A"", ""order_number"": ""N/A"", ""product_numbers"": ""N/A"", ""has_music"": true, ""genre_detection"": ""pop"", ""instrument_identification"": [""vocals"", ""synthesizer"", ""drums"", ""bass""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""uplifting"", ""music_volume"": ""normal""}","{""call_type"": null, ""customer_sentiment"": null, ""customer_name"": """", ""order_number"": ""N/A"", ""product_numbers"": """", ""has_music"": true, ""genre_detection"": ""classical"", ""instrument_identification"": [""piano"", ""violin"", ""orchestra""], ""tempo_classification"": ""moderate"", ""mood_of_music"": ""calm"", ""music_volume"": ""normal""}"
